external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
AMI-CSI-2ea5bed6-6,CVD-0000119,75708261,76911897,AMI-CSI-2ea5bed6-6,True,False,False
AMI-CSI-2ea5bed6-7,CVD-0000120,75708262,76911898,AMI-CSI-2ea5bed6-7,True,False,False
AMI-CSI-2ea5bed6-8,CVD-0000121,75708263,76911899,AMI-CSI-2ea5bed6-8,True,False,False
AMI-CSI-2ea5bed6-9,CVD-0000122,75708264,76911900,AMI-CSI-2ea5bed6-9,True,False,False
AMI-SHA-0ab64bbd-1,CVD-0000123,75708265,76911901,AMI-SHA-0ab64bbd-1,True,False,False
AMI-SHA-be6e1b75-1,CVD-0000123,75708265,76911904,AMI-SHA-0ab64bbd-1,True,False,False
AMI-SHA-46bf737e-1,CVD-0000124,75708266,76911902,AMI-SHA-46bf737e-1,True,False,False
AMI-SHA-7fcb2bd6-1,CVD-0000125,75708267,76911903,AMI-SHA-7fcb2bd6-1,True,False,False
AND-UNI-23ac02e4-1,CVD-0000126,75708268,76911905,AND-UNI-23ac02e4-1,True,False,False
AND-WAB-34fc5141-1,CVD-0000127,75708269,76911906,AND-WAB-34fc5141-1,True,False,False
AND-WAB-6ed53ced-1,CVD-0000128,75708270,76911907,AND-WAB-6ed53ced-1,True,False,False
AND-WAB-7d3788f1-1,CVD-0000129,75708271,76911908,AND-WAB-7d3788f1-1,True,False,False
AND-WAB-9085730e-1,CVD-0000130,75708272,76911909,AND-WAB-9085730e-1,True,False,False
AND-WAB-9085730e-2,CVD-0000131,75708273,76911910,AND-WAB-9085730e-2,True,False,False
AND-WAB-a9ec64bd-1,CVD-0000132,75708274,76911911,AND-WAB-a9ec64bd-1,True,False,False
AND-WAB-bfd3647f-1,CVD-0000133,75708275,76911912,AND-WAB-bfd3647f-1,True,False,False
AND-WAB-bfd3647f-2,CVD-0000134,75708276,76911913,AND-WAB-bfd3647f-2,True,False,False
ANN-UNI-26382800-1,CVD-0000135,75708277,76911914,ANN-UNI-26382800-1,True,False,False
ANN-UNI-26382800-2,CVD-0000136,75708278,76911915,ANN-UNI-26382800-2,True,False,False
ANN-UNI-26382800-3,CVD-0000137,75708279,76911916,ANN-UNI-26382800-3,True,True,True
JOH-UNK-14e6adc5-2,CVD-0000137,75708279,76913503,ANN-UNI-26382800-3,True,True,True
ANN-UNI-26382800-4,CVD-0000138,75708280,76911917,DAR-DIA-23aa0b97-5,True,True,True
DAR-DIA-23aa0b97-5,CVD-0000138,75708280,76912502,DAR-DIA-23aa0b97-5,True,True,True
JOR-UNI-61e7b1d5-2,CVD-0000138,75708280,76913594,DAR-DIA-23aa0b97-5,True,True,True
WAR-XCH-eb7b662f-1,CVD-0000138,75708280,76915996,DAR-DIA-23aa0b97-5,True,True,True
ANN-UNI-26382800-5,CVD-0000139,75708281,76911918,ANN-UNI-26382800-5,True,True,True
ANN-UNI-26382800-6,CVD-0000140,75708282,76911919,ANN-UNI-26382800-6,True,True,True
ANN-UNI-26382800-7,CVD-0000141,75708283,76911920,ANN-UNI-26382800-7,True,False,False
ANT-DIA-045cfdc4-1,CVD-0000142,75708284,76911921,ANT-DIA-045cfdc4-1,True,False,False
ANT-DIA-045cfdc4-2,CVD-0000143,75708285,76911922,ANT-DIA-045cfdc4-2,True,False,False
ANT-DIA-045cfdc4-3,CVD-0000144,75708286,76911923,ANT-DIA-045cfdc4-3,True,False,False
ANT-DIA-045cfdc4-4,CVD-0000145,75708287,76911924,ANT-DIA-045cfdc4-4,True,False,False
ANT-DIA-045cfdc4-5,CVD-0000146,75708288,76911925,ANT-DIA-045cfdc4-5,True,False,False
ANT-DIA-3c79be55-1,CVD-0000147,75708289,76911926,ANT-DIA-3c79be55-1,True,False,False
ANT-DIA-3c79be55-2,CVD-0000148,75708290,76911927,ANT-DIA-3c79be55-2,True,False,False
ANT-DIA-3c79be55-3,CVD-0000149,75708291,76911928,ANT-DIA-3c79be55-3,True,False,False
ANT-DIA-3c79be55-4,CVD-0000150,75708292,76911929,ANT-DIA-3c79be55-4,True,True,True
ANT-DIA-3c79be55-5,CVD-0000151,75708293,76911930,ANT-DIA-3c79be55-5,True,False,False
ANT-DIA-b7f58f21-1,CVD-0000152,75708294,76911931,ANT-DIA-b7f58f21-1,True,False,False
ANT-DIA-b7f58f21-2,CVD-0000153,75708295,76911932,ANT-DIA-b7f58f21-2,True,True,True
ANT-DIA-b7f58f21-3,CVD-0000154,75708296,76911933,ANT-DIA-b7f58f21-3,True,True,True
ANT-DIA-b7f58f21-4,CVD-0000155,75708297,76911934,ANT-DIA-b7f58f21-4,True,False,False
ANT-DIA-b7f58f21-5,CVD-0000156,75708298,76911935,ANT-DIA-b7f58f21-5,True,False,False
ANT-DIA-b7f58f21-6,CVD-0000157,75708299,76911936,ANT-DIA-b7f58f21-6,True,False,False
ANT-DIA-b7f58f21-7,CVD-0000158,75708300,76911937,ANT-DIA-b7f58f21-7,True,False,False
ANT-DIA-b7f58f21-8,CVD-0000159,75708301,76911938,ANT-DIA-b7f58f21-8,True,False,False
ROB-UNI-b2e39629-1,CVD-0000159,75708301,76915208,ANT-DIA-b7f58f21-8,True,False,False
ANT-DIA-b7f58f21-9,CVD-0000160,75708302,76911939,ANT-DIA-b7f58f21-9,True,False,False
ANT-LOU-17aa1493-1,CVD-0000161,75708303,76911940,ANT-LOU-17aa1493-1,True,False,False
