shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,PostEra comments
ALP-POS-02c6a514-45,EN300-00834-Ugi,C33H32FN5O2,Achiral,549.65,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2cn3ccccc3n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,"2-[N-(4-tert-butylphenyl)-1-{imidazo[1,2-a]pyridin-2-yl}formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013876
ALP-POS-02c6a514-46,EN300-97870-Ugi,C29H30FN5O2,Achiral,499.59,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ncc[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(1H-imidazol-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013877
ALP-POS-02c6a514-47,EN300-52939-Ugi,C31H31FN4O3,Achiral,526.612,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCN(c2ccccc2)CC1,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-(1-phenylpiperidin-4-yl)formamido]-2-(pyridin-3-yl)acetamide,CVD-0013857
ALP-POS-02c6a514-48,EN300-66943-Ugi,C32H31FN4O3,Achiral,538.623,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2n[nH]c3ccccc23)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(1H-indazol-3-yl)acetamide,CVD-0013878
ALP-POS-02c6a514-49,EN300-91129-Ugi,C29H29FN4O2S,Achiral,516.64,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,"2-[N-(4-tert-butylphenyl)-1-(1,3-thiazol-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013879
ALP-POS-02c6a514-50,EN300-68618-Ugi,C29H29FN4O3,Achiral,500.574,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,"2-[N-(4-tert-butylphenyl)-1-(1,3-oxazol-4-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013880
ALP-POS-02c6a514-51,EN300-20112-Ugi,C30H35FN4O2,Achiral,502.634,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)C2CCCN2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(pyrrolidin-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013881
ALP-POS-02c6a514-52,EN300-37077-Ugi,C29H30FN5O2,Achiral,499.59,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccn[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(1H-pyrazol-5-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013882
ALP-POS-02c6a514-53,EN300-719511-Ugi,C26H30N4O4,Achiral,462.55,,,,,0,40,20,,,CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[(dimethylcarbamoyl)methyl]-2-(pyridin-3-yl)acetamide,CVD-0013883
ALP-POS-02c6a514-54,EN300-1837935-Ugi,C26H32N4O3,Achiral,448.56699999999995,,,,,0,40,20,,,CN(C)CCNC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(dimethylamino)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013884
ALP-POS-02c6a514-55,EN300-1853864-Ugi,C28H34N4O4,Achiral,490.60400000000004,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCN2CCOCC2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(morpholin-4-yl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013885
ALP-POS-02c6a514-56,EN300-07501-Ugi,C28H27N3O3,Achiral,453.542,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)Nc2ccccc2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-phenyl-2-(pyridin-3-yl)acetamide,CVD-0013886
ALP-POS-02c6a514-57,EN300-257838-Ugi,C29H29N3O3,Achiral,467.569,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCc2ccccc2)c2cccnc2)cc1,N-benzyl-2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-2-(pyridin-3-yl)acetamide,CVD-0013887
ALP-POS-02c6a514-58,EN300-171623-Ugi,C31H29F2N3O5,Achiral,561.586,,,,,0,40,20,,,COC(=O)C(C)(CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccccc1F,methyl 2-(2-fluorophenyl)-3-[N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)-1-(furan-2-yl)formamido]-2-methylpropanoate,CVD-0013858
