SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2)
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NN=C4C3CCCC4)=CC=C2,PG-COV-25,PG-COV-25,,,20,,,A6,27.40878111,,82.10752822,,100,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NC(C)=NN3)=CC=C2C,PG-COV-26,PG-COV-26,,,20,,,A7,2.961439311,,27.34886003,,64.73101036,
O=C(C1CCN(C(CCl)=O)CC1)N2CC(C3=NC(CCC)=NN3)OCC2,PG-COV-22,PG-COV-22,,,20,,,A8,No Inhibition,,No Inhibition,,13.07621986,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C3C(NC4=C3C=CC=C4)=C2,PG-COV-6,PG-COV-6,,,20,,,A9,No Inhibition,,12.54741707,,55.36563113,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(C(C)=O)C=C2,PG-COV-30,PG-COV-30,,,20,,,A10,No Inhibition,,6.030576236,,35.58152015,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CN=CC=C2,PG-COV-43,PG-COV-43,,,20,,,A11,1.411438968,,1.475666695,,9.720026338,
O=C(C1CCN(C(CCl)=O)CC1)NC2=NN(C3=CC=CC=C3)C=C2,PG-COV-19,PG-COV-19,,,20,,,A12,No Inhibition,,No Inhibition,,No Inhibition,
O=C(C1CCN(C(CCl)=O)CC1)NC2=NC=CC(C)=C2,PG-COV-38,PG-COV-38,,,20,,,A13,78.01293857,,98.82359499,,97.92532965,
O=C(C1CCN(C(CCl)=O)CC1)NC2=C(C=CC=C3)C3=NC(Cl)=C2,PG-COV-17,PG-COV-17,,,20,,,A14,10.63428629,,40.87265762,,77.7648566,
CC(C)(C)C1=CC=C(C=C1)N(C(C(NC(C)(C)C)=O)C2=CC=CN=C2)C(C=C)=O,Ugi-aa-1,Ugi-aa-1,,,20,,,A15,No Inhibition,,47.58244738,,100,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=CC=C2,PG-COV-2,PG-COV-2,,,20,,,A16,No Inhibition,,No Inhibition,,12.2071806,
O=C(C1CCN(C(CCl)=O)CC1)NC2=C(Br)C=CC=C2,PG-COV-35,PG-COV-35,,,20,,,A17,1.435986698,,No Inhibition,,0.586990829,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(OC)N=C2,PG-COV-42,PG-COV-42,,,20,,,A18,No Inhibition,,4.959626044,,31.86899971,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CNC3=C2C=C(Br)C=C3,PG-COV-14,PG-COV-14,,,20,,,A19,73.6092863,,100,,100,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C(C)=O)=CC=C2,PG-COV-31,PG-COV-31,,,20,,,A20,3.694324279,,13.72044496,,37.1572196,
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(Cl)C=C2,PG-COV-36,PG-COV-36,,,20,,,A21,No Inhibition,,No Inhibition,,9.634665223,
O=C(C1CCN(C(CCl)=O)CC1)NC2=NC=CC=C2C,PG-COV-39,PG-COV-39,,,20,,,A22,No Inhibition,,No Inhibition,,No Inhibition,
