SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,24.8,-7.02,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,0.772,-2.67,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,3.71,-2.58,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,0.772,-1.49,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,3.71,-0.77,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,12.4,1.04,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,12.4,1.77,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,99.0,3.4,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,49.5,10.2,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,99.0,12.8,LON-WEI-b8d98729-23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,,,1.65,0.0341,49.5,15.7,LON-WEI-b8d98729-23
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,0.772,7.13,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,0.772,8.41,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,1.24,10.7,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,1.24,15.3,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,3.71,26.8,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,3.71,28.7,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,6.19,42.3,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,6.19,43.5,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,12.4,62.7,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,12.4,62.7,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,24.8,76.9,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,24.8,77.8,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,49.5,85.3,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,49.5,86.2,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,99.0,88.9,MAT-POS-916a2c5a-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,8.19,7.69,8.73,1.05,0.996,99.0,92.7,MAT-POS-916a2c5a-3
