SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-14,84.0,40,10.0,No Inhibition,No Inhibition,,,29.35636907,33.44613387,oxford,LON-WEI-b8d98729-14
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-41,86.69,40,10.0,10.07010227,9.129831818,,,60.59281938,65.08280866,oxford,LON-WEI-b8d98729-41
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-15,85.43,40,10.0,6.272858767,7.299247486,,,45.17920649,50.80607417,oxford,LON-WEI-b8d98729-15
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-16,83.0,40,10.0,No Inhibition,No Inhibition,,,18.37278036,31.86744736,oxford,LON-WEI-b8d98729-16
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-17,97.79,40,10.0,4.056763484,4.831844178,,,29.87357651,33.80550657,oxford,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-18,98.6,40,10.0,No Inhibition,No Inhibition,,,23.38524609,22.56515352,oxford,LON-WEI-b8d98729-18
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-19,100.0,40,10.0,No Inhibition,No Inhibition,,,22.00596499,38.61137804,oxford,LON-WEI-b8d98729-19
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-20,88.54,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-20
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-21,93.0,40,10.0,No Inhibition,No Inhibition,,,8.968581877,15.43893623,oxford,LON-WEI-b8d98729-21
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-22,95.75,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-22
