CDD_ID,registration_SMILES,batch_number,batch_ID,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50
CVD-0014383,Fc1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,1,ALP-POS-696356e4-1,FC=1C=CC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C2C1,O=C(Nc1cncc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,shipment_SMILES,,0.767,,1,6.1
CVD-0014292,CC(C)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,1,BRU-THA-92256091-17,CC(C)OC=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CNC=N4,CC(C)Oc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,shipment_SMILES,0.592,0.725,0.187,2,6.1
CVD-0014292,CC(C)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,1,BRU-THA-92256091-17,CC(C)OC=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CNC=N4,CC(C)Oc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,shipment_SMILES,0.857,0.725,0.187,2,6.1
CVD-0014274,Clc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,1,MIC-UNK-45817b9b-1,ClC=1C=CC=2NC(=O)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1,shipment_SMILES,0.420,0.447,0.037,2,6.4
CVD-0014274,Clc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,1,MIC-UNK-45817b9b-1,ClC=1C=CC=2NC(=O)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1,shipment_SMILES,0.473,0.447,0.037,2,6.4
CVD-0014272,Clc1ccc2N(Cc3ncn[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1,RAL-THA-8416115c-13,ClC=1C=CC=2N(CC3=NC=NN3)CCC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ncn[nH]2)c2ccc(Cl)cc21,shipment_SMILES,1.40,1.4,,1,5.9
CVD-0014269,CN(C)C(=O)CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,1,RAL-THA-8416115c-9,CN(C)C(=O)CN1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,CN(C)C(=O)CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,shipment_SMILES,2.54,2.54,,1,5.6
CVD-0014266,Clc1ccc2N(Cc3ccn[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1,RAL-THA-8416115c-6,ClC=1C=CC=2N(CC3=CC=NN3)CCC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ccn[nH]2)c2ccc(Cl)cc21,shipment_SMILES,0.803,0.803,,1,6.1
CVD-0014265,Clc1ccc2N(Cc3ncc[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1,RAL-THA-8416115c-5,ClC=1C=CC=2N(CC3=NC=CN3)CCC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ncc[nH]2)c2ccc(Cl)cc21,shipment_SMILES,0.780,0.78,,1,6.1
CVD-0014262,Clc1ccc2N(Cc3ccccc3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1,RAL-THA-8416115c-1,ClC=1C=CC=2N(CC=3C=CC=CC3)CCC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ccccc2)c2ccc(Cl)cc21,shipment_SMILES,1.06,1.06,,1,6.0
CVD-0014261,COCCN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,1,RAL-THA-4aa06b95-7,COCCN1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,COCCN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,shipment_SMILES,0.564,0.564,,1,6.2
CVD-0014255,NC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,1,RAL-THA-4aa06b95-1,NC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,NC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,shipment_SMILES,0.998,0.998,,1,6.0
CVD-0014253,COc1ccccc1OCCNC(=O)C1CC(=O)Nc2ccccc12,1,MAT-POS-35d3f55a-1,COC=1C=CC=CC1OCCNC(=O)C2CC(=O)NC=3C=CC=CC23,COc1ccccc1OCCNC(=O)C1CC(=O)Nc2ccccc21,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014252,CC1CN(CCN1c1cccc(Cl)c1)C(=O)c1cc(=O)[nH]c2ccccc12,1,MAT-POS-54c4bf04-4,CC1CN(CCN1C=2C=CC=C(Cl)C2)C(=O)C3=CC(=O)NC=4C=CC=CC34,CC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)CCN1c1cccc(Cl)c1,shipment_SMILES,14.7,14.7,,1,4.8
