CID,SMILES,canonical_CID,inchikey,old_CID,short_inchikey
MAK-UNK-148caf23-11,CNCc1cn(S(=O)(=O)c2cccnc2)c(-c2ccccc2F)c1CNc1ccc(C#N)cn1,MAK-UNK-148caf23-11,HGFZBRLZGVKIOT-UHFFFAOYSA-N,MAK-UNK-148-11,HGFZBRLZGVKIOT
MAK-UNK-148caf23-12,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1CNc1ccc(C#N)cn1,MAK-UNK-148caf23-12,DJUXLEXZUCOWPO-UHFFFAOYSA-N,MAK-UNK-148-12,DJUXLEXZUCOWPO
MAK-UNK-148caf23-13,CNCC1=CC(CNc2ccc(C#N)cn2)(S(=O)(=O)c2cccnc2)C(c2ccccc2F)=C1,MAK-UNK-148caf23-13,NGYFYERIIDNFDM-UHFFFAOYSA-N,MAK-UNK-148-13,NGYFYERIIDNFDM
MAK-UNK-148caf23-14,CNCc1cc(-c2ccccc2F)n(S(=O)(=CCNc2ccc(C#N)cn2)c2cccnc2)c1,MAK-UNK-148caf23-14,AIKXMBNNCFSXED-UHFFFAOYSA-N,MAK-UNK-148-14,AIKXMBNNCFSXED
MAK-UNK-148caf23-15,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cnccc2CNc2ccc(C#N)cn2)c1,MAK-UNK-148caf23-15,QEXCEPQASBTHOU-UHFFFAOYSA-N,MAK-UNK-148-15,QEXCEPQASBTHOU
MAK-UNK-148caf23-16,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cncc(CNc3ccc(C#N)cn3)c2)c1,MAK-UNK-148caf23-16,ONFHQYDGHHRORS-UHFFFAOYSA-N,MAK-UNK-148-16,ONFHQYDGHHRORS
MAK-UNK-148caf23-17,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc(CNc3ccc(C#N)cn3)nc2)c1,MAK-UNK-148caf23-17,NHEVOSAEQHCVHZ-UHFFFAOYSA-N,MAK-UNK-148-17,NHEVOSAEQHCVHZ
MAK-UNK-148caf23-18,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccc(CNc3ccc(C#N)cn3)c2)c1,MAK-UNK-148caf23-18,NNCHAHPNBMIBFV-UHFFFAOYSA-N,MAK-UNK-148-18,NNCHAHPNBMIBFV
MAK-UNK-148caf23-19,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2CNc2ccc(C#N)cn2)c1,MAK-UNK-148caf23-19,ROJZZKYCHCNVIZ-UHFFFAOYSA-N,MAK-UNK-148-19,ROJZZKYCHCNVIZ
MAK-UNK-148caf23-2,CCNc1cc(NCc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)c(C#N)cn1,MAK-UNK-148caf23-2,TWWGAKKZILNUAY-UHFFFAOYSA-N,MAK-UNK-148-2,TWWGAKKZILNUAY
