SMILES,CID,fragments,real_space,SCR,BB,covalent_frag,link
O=C(C1CCN(c2ccncc2)CC1)N1CCS(=O)(=O)CC1,GIA-UNK-30c-3,x0540,s_22____3014600____14868232,False,False,False,https://covid.postera.ai/covid/submissions/GIA-UNK-30c
O=C(CC(=O)N1CCOCC1)NCc1ccccc1,GIA-UNK-3f3-6,x1380,False,False,BBV-113362185,True,https://covid.postera.ai/covid/submissions/GIA-UNK-3f3
O=C(NC1CCCCC1NC(=O)c1ccncc1)c1ccccc1,GIA-UNK-d2d-2,x0540,Z2648338340,False,False,False,https://covid.postera.ai/covid/submissions/GIA-UNK-d2d
CN1CCC(C(=O)NC2CCCCC2NC(=O)c2ccccc2)CC1,GIA-UNK-d2d-4,x0540,Z2648339571,False,False,False,https://covid.postera.ai/covid/submissions/GIA-UNK-d2d
O=C(C1CCCN1C(=O)c1ccccc1)N1CCOCC1,GIA-UNK-d2d-6,x0540,Z2252052015,False,False,False,https://covid.postera.ai/covid/submissions/GIA-UNK-d2d
O=C(c1ccccc1)N1CCN(C(=O)C2CCOCC2)CC1,GIA-UNK-eaa-1,"x1249,x1385,x1402,x1412",Z73335350,False,False,True,https://covid.postera.ai/covid/submissions/GIA-UNK-eaa
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaa-3,"x1249,x1385,x1402,x1412",Z28250828,Z28250828,False,True,https://covid.postera.ai/covid/submissions/GIA-UNK-eaa
NC(C(=O)O)C(O)c1cccc(O)c1,HUN-WAB-726-1,"x0107,x0195",False,False,EN300-1855080,False,https://covid.postera.ai/covid/submissions/HUN-WAB-726
NCC(N)C(=O)O,HUN-WAB-acb-1,"x0072,x0107",False,Z1033300658,EN300-322285,False,https://covid.postera.ai/covid/submissions/HUN-WAB-acb
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-7,"x0161,x0195,x0692,x1386",Z46181242,Z102844650,False,True,https://covid.postera.ai/covid/submissions/JAN-GHE-1d9
NS(=O)(=O)c1ccc(C(=O)N2Cc3ccccc3C(c3ccccc3)C2)cc1,JAR-IMP-ed4-13,x0072,Z1982706704,False,False,False,https://covid.postera.ai/covid/submissions/JAR-IMP-ed4
O=C(c1cc2sccc2s1)N1CCOC(CN2CCOCC2)C1,JAR-KUA-672-1,x0072,Z2782173902,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
Cc1ccnc(CN2CCCC3(CCOC3)C2)c1,JAR-KUA-672-10,x0072,Z2279157964,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
Cc1ccc2cc(CNCC(=O)N3CCN(C)CC3)[nH]c2c1,JAR-KUA-672-11,x0072,Z2589661643,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
CS(=O)(=O)c1ccc(CNc2nc3ccccc3[nH]2)s1,JAR-KUA-672-12,x0072,Z1815897797,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
CCc1ccc(CN2CCN(CCc3ccns3)CC2)cc1,JAR-KUA-672-13,x0072,s_2230____12896890____13152732,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
CCNCc1cn(CC(=O)N2CCN(C)CC2)nn1,JAR-KUA-672-14,x0072,Z2845184219,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
c1ccc(OC2CN(Cc3c[nH]cn3)C2)cc1,JAR-KUA-672-2,x0072,Z2015677308,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
CN1CCN(C(=O)CNc2c(S(N)(=O)=O)ccc3ccccc23)CC1,JAR-KUA-672-3,x0072,Z3075792052,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
O=S1(=O)c2ccccc2CN1CCN1CCCCC1,JAR-KUA-672-5,x0072,Z2721976252,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
O=S(=O)(Nc1nsc2ccccc12)c1ccc2ccccc2c1,JAR-KUA-672-6,x0072,Z55018459,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
c1coc(CC2CN(Cc3cc4ccccc4[nH]3)C2)c1,JAR-KUA-672-8,x0072,Z2717387516,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
c1ccc2ncc(CN3CC(Cc4ccoc4)C3)cc2c1,JAR-KUA-672-9,x0072,Z2978535542,False,False,False,https://covid.postera.ai/covid/submissions/JAR-KUA-672
NC(=O)c1nc(Cl)cnc1O,JAS-UND-c13-1,"x0107,x0434,x0946,x0981",False,False,BBV-77538590,True,https://covid.postera.ai/covid/submissions/JAS-UND-c13
O=CCc1c[nH]c2ccc(O)cc12,JOH-MEM-5e3-7,x0104,False,False,BBV-39783392,False,https://covid.postera.ai/covid/submissions/JOH-MEM-5e3
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,JOH-MSK-35a-1,x0104,False,Z1191880499,EN300-6486827,False,https://covid.postera.ai/covid/submissions/JOH-MSK-35a
CC(=O)NCCc1c[nH]c2ccc(O)cc12,JOH-MSK-a63-4,x0104,Z3206996697,False,FCH1679293,False,https://covid.postera.ai/covid/submissions/JOH-MSK-a63
COc1ccc2[nH]cc(CCN)c2c1,JOH-MSK-a63-7,x0104,False,Z1698584701,EN300-75859,False,https://covid.postera.ai/covid/submissions/JOH-MSK-a63
