SMILES,CID,REAL,inchikey
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,s_22____3391102____59991,MLLQAKCWQMHQOK-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(O)c1,ALP-POS-95b75b4d-2,s_22____3391102____8593040,JOMCPDPKDFHNEK-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,ALP-POS-95b75b4d-3,s_22____3391102____59036,XYFCSWHALYQBPC-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1,ALP-POS-95b75b4d-4,s_22____3391102____10965736,PTTAFUMPUWHBTC-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1cnccc1O,ALP-POS-95b75b4d-6,s_22____2991078____3020518,KVWUDKJXQHSJFA-UHFFFAOYSA-N
Cc1ccncc1Cn1ccccc1=O,JAN-GHE-d851b096-6,s_34____34750____10978702,OAJOHNOJMDTONO-UHFFFAOYSA-N
Cc1onc(C)c1CS(=O)(=O)Cc2cc(Cl)ccc2,JAG-UCB-a3ef7265-1,Z316922768-1,GVCRKTUFFVIMFM-UHFFFAOYSA-N
c1ccc(Cl)c(F)c1CC(=O)Nc2nncn2C,JAG-UCB-a3ef7265-2,Z2175679705,BYEAJBHTLMRCNE-UHFFFAOYSA-N
c1cncc(c1CO)NC(=O)[C@@H]2COc(c23)ccc(Cl)c3,JAG-UCB-a3ef7265-3,Z1852878836-2,BWTWLKMAKBVNDU-GFCCVEGCSA-N
Cc1nnc(n1C)NC(=O)Cc2c(F)c(Cl)ccc2,JAG-UCB-a3ef7265-4,Z2175495475,QOJDKWGQMRVHEQ-UHFFFAOYSA-N
Cn1ncc(c1C)NC(=O)Cc2c(F)c(Cl)ccc2,JAG-UCB-a3ef7265-5,Z2173836799,QSNBJVRERGGYIB-UHFFFAOYSA-N
Cc(c1)cc(C)cc1CS(=O)(=O)N[C@@]23[C@@H](C2)COC3,JAG-UCB-a3ef7265-6,Z2862373195,FKOCSDYJVLOQPT-KBPBESRZSA-N
c1ncccc1NC(=O)[C@@H]2COc(c23)cc(C)c(C)c3,JAG-UCB-a3ef7265-7,Z1715471679,JNRKEKQOEOEDQL-CQSZACIVSA-N
Cn(n1)c(OC)c(c1C)NC(=O)Cc2c(Cl)c(Cl)ccc2,JAG-UCB-a3ef7265-8,Z1927119513-1,ROKYNRZZDYWVNG-UHFFFAOYSA-N
n1oc(C)c(c1C)NC(=O)Cc2c(Cl)c(Cl)ccc2,JAG-UCB-a3ef7265-9,Z1926728860,AZFZCDRNSRZECV-UHFFFAOYSA-N
Cc1nnc(s1)NC(=O)Cc2c(F)c(Cl)ccc2,JAG-UCB-a3ef7265-10,Z2169605851,QTIVUHNSNPGYAH-UHFFFAOYSA-N
CC(C)(C)c1nc(cs1)CC(=O)[N-]c2nnnn2C,JAG-UCB-a3ef7265-11,Z1625004722-1,CVFMLIYQWFNLLQ-UHFFFAOYSA-M
Cc1cc(C)cc(c1)NC(=O)Cn2cncc2C,JAG-UCB-a3ef7265-12,Z2697373477,STGGVDRKLHLWOB-UHFFFAOYSA-N
c1nn(C)c(C)c1CC(=O)Nc(c2)cc(C)cc2C,JAG-UCB-a3ef7265-13,Z2206062845,LZAPEKXFKALYCZ-UHFFFAOYSA-N
Cc1cccc(n1)NC(=O)Cn2cncc2C,JAG-UCB-a3ef7265-14,Z2699738844,WMSLCSHVTAMVGS-UHFFFAOYSA-N
Cc1nnc(n1C)NC(=O)Cc2cc(Cl)ccc2,JAG-UCB-a3ef7265-15,Z1657805834,BMJKTUGREGMLRB-UHFFFAOYSA-N
c1cc(C)cc(c1C)N(C)C(=O)Cc2c(C)n(C)nc2,JAG-UCB-a3ef7265-16,Z2209472579,ORLURDGQGVSICS-UHFFFAOYSA-N
c1ccc(Cl)cc1CC(=O)Nc2nncn2C,JAG-UCB-a3ef7265-17,Z1694793265,KUQZIXBIJYQMJY-UHFFFAOYSA-N
Cn1cnnc1NC(=O)Cc2cc(C)cc(C)c2,JAG-UCB-a3ef7265-18,Z2636222460,UDMVRKGFUBDAMY-UHFFFAOYSA-N
CC(C)n(c1C)nc(C)c1CC(=O)[N-]c2nncn2C3CC3,JAG-UCB-a3ef7265-19,Z2226597833-2,DPIKGTVBHPUICH-UHFFFAOYSA-M
