SMILES,external_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,CID
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-14,Z4439011560,Z4439011560,493.39,84.0,40,10.0,1169103-Y40-01,A07,,LON-WEI-b8d98729-14
FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-41,Z4438424211,Z4438424211,504.29,86.69,40,10.0,1169103-Y40-01,B07,,LON-WEI-b8d98729-41
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1,LON-WEI-b8d-15,Z4439011525,Z4439011525,432.51,85.43,40,10.0,1169103-Y40-01,C07,,LON-WEI-b8d98729-15
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1,LON-WEI-b8d-16,Z4438424264,Z4438424264,442.55,83.0,40,10.0,1169103-Y40-01,D07,,LON-WEI-b8d98729-16
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1,LON-WEI-b8d-17,Z4438424265,Z4438424265,443.53,97.79,40,10.0,1169103-Y40-01,E07,,LON-WEI-b8d98729-17
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3,LON-WEI-b8d-18,Z4439011588,Z4439011588,442.55,98.6,40,10.0,1169103-Y40-01,F07,,LON-WEI-b8d98729-18
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-19,Z4438424215,Z4438424215,494.38,100.0,40,10.0,1169103-Y40-01,G07,,LON-WEI-b8d98729-19
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3,LON-WEI-b8d-20,Z4439011584,Z4439011584,445.55,88.54,40,10.0,1169103-Y40-01,H07,,LON-WEI-b8d98729-20
CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-21,Z4439011532,Z4439011532,437.92,93.0,40,10.0,1169103-Y40-01,I07,,LON-WEI-b8d98729-21
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-22,Z4438424286,Z4438424286,449.92,95.75,40,10.0,1169103-Y40-01,J07,,LON-WEI-b8d98729-22
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2,LON-WEI-b8d-23,Z4439011607,Z4439011607,384.47,93.92,40,10.0,1169103-Y40-01,K07,,LON-WEI-b8d98729-23
CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-24,Z4438424281,Z4438424281,437.94,90.57,40,10.0,1169103-Y40-01,L07,,LON-WEI-b8d98729-24
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,LON-WEI-b8d-25,Z4439011543,Z4439011543,444.5,100.0,40,10.0,1169103-Y40-01,M07,,LON-WEI-b8d98729-25
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-26,Z4439011523,Z4439011523,444.52,89.29,40,10.0,1169103-Y40-01,N07,,LON-WEI-b8d98729-26
