SMILES,CID,real_space,SCR,BB,extended_real_space
OC1(Cn2c(-c3cc(Br)c[nH]3)nnc2N2CCCC2)CCCCCC1,KUS-THE-322b9b63-6,False,False,False,m_273170____10757536____10759864____10766702
O=C1CN(c2nnc(C3CCC(=O)N3)n2CCn2cc(Cl)cn2)CCN1,KUS-THE-322b9b63-7,False,False,False,m_273170____14035674____10765702____13935884
CCN(CC)c1ccc(S(N)(=O)=O)cc1,LIZ-THE-57c545eb-1,False,False,EN300-1991150,False
COc1ccc(S(N)(=O)=O)cc1,LIZ-THE-6efed59f-3,False,Z45415561,EN300-26990,s_7____626668____1157790
COC(=O)c1ccc(S(N)(=O)=O)cc1C,LIZ-THE-d3ff4653-1,False,False,EN300-1617051,False
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,LON-WEI-8f408cad-1,Z199423638,False,EN300-24592,m_270062____7596708____8147258
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,LON-WEI-8f408cad-2,Z212045114,False,EN300-22862,False
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,LON-WEI-8f408cad-3,Z212045150,False,EN300-23037,False
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,LON-WEI-8f408cad-4,Z147647642,False,EN300-22860,False
O=C(CCl)N1CCN(Cc2cccs2)CC1,LON-WEI-8f408cad-5,Z1562120010,False,False,m_270062____7596146____8147258
O=C(CCc1c[nH]nn1)NC(Cn1cccn1)c1ccccc1,LON-WEI-8f408cad-6,Z2771389038,False,False,s_22____5535204____10803970
O=C(CCl)N1CCN(Cc2ccsc2)CC1,LON-WEI-8f408cad-7,Z1562120350,False,False,m_270062____7596486____8147258
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-11,False,Z4438424285,False,False
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-13,False,Z4438424214,False,False
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-14,False,Z4439011560,False,False
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-15,False,Z4439011525,False,False
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d98729-16,False,Z4438424264,False,False
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-19,False,Z4438424215,False,False
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-2,False,Z4439011579,False,False
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-20,False,Z4439011584,False,False
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d98729-21,False,Z4439011532,False,False
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-23,False,Z4439011607,False,False
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d98729-25,False,Z4439011543,False,False
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-26,False,Z4439011523,False,False
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-29,False,Z4439011585,False,False
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-32,False,Z4439011614,False,False
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,LON-WEI-b8d98729-34,False,False,EN300-123008,False
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-35,False,Z4439011564,False,False
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-b8d98729-36,False,Z4439011603,False,False
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,LON-WEI-b8d98729-4,Z46181242,Z102844650,False,s_2230____678732____679740
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d98729-41,False,Z4438424211,False,False
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-42,False,Z4439011586,False,False
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d98729-43,False,Z4439011520,False,False
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d98729-46,False,Z4439011581,False,False
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,LON-WEI-b8d98729-5,False,False,EN300-1710061,False
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d98729-7,False,Z4439011611,False,False
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d98729-9,False,Z4439011556,False,False
COc1cccc(CNC(=O)N2CCN(C(=O)N3CCCCC3)CC2)c1,LUI-IND-2c46affe-3,Z402424598,False,False,s_2708____905766____912764
Cc1cc(O)cc(C)c1Cl,MAK-UNK-0cb6a3ad-1,False,Z3953116415,EN300-39884,False
CC1CCC(C(C)C)C(O)C1,MAK-UNK-0cb6a3ad-5,False,Z1255438640,EN300-92163,False
CC1CCC(C(C)C)C(=O)C1,MAK-UNK-0cb6a3ad-7,False,Z56347247,EN300-383879,False
Cc1coc2c1CCC(C)C2,MAK-UNK-0cb6a3ad-8,False,False,BBV-109263053,False
CC(C)=C1CCC(C)CC1=O,MAK-UNK-0cb6a3ad-9,False,False,EN300-220670,False
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6072ac-4,False,Z1814381791,EN300-120629,False
CCn1cc(CNC(=O)c2cccnc2)cn1,MAK-UNK-2c1752f0-1,Z275181224,Z275181224,False,s_22____10155108____58868
CC(=O)C(C)c1cccnc1,MAK-UNK-2c1752f0-2,False,False,BBV-41757183,False
Brc1cccnc1,MAK-UNK-2c1752f0-3,False,Z1250132521,EN300-19110,False
CC(C)Nc1cccnc1,MAK-UNK-2c1752f0-4,False,Z2574930241,EN300-56005,False
CCS(=O)(=O)Nc1ccccc1F,MAK-UNK-2c1752f0-5,False,Z53825177,EN300-116204,False
